Unnamed: 0,Şehir,Parti,Meslek,Doğum Yeri,Doğum Yılı
İsmail Faruk AKSU,İstanbul,MHP,iktisatçı,Ordu,1963
İzzet Ulvi YÖNTER,İstanbul,MHP,kamu görevlisi,Afyonkarahisar,1976
Kadri Enis BERBEROĞLU,İstanbul,CHP,gazeteci,İstanbul,1956
Mahmut TANAL,İstanbul,CHP,avukat,Şanlıurfa,1961
Mehmet BEKAROĞLU,İstanbul,CHP,öğretim üyesi,Rİze,1954
Mehmet Akif HAMZAÇEBİ,İstanbul,CHP,bürokrat,Trabzon,1954
Mehmet Doğan KUBAT,İstanbul,AK Parti,avukat,Ankara,1969
Memet Bülent KARATAŞ,İstanbul,MHP,iş adamı,Kars,1972
Mihrimah Belma SATIR,İstanbul,AK Parti,avukat,Erzurum,1961
Musa PİROĞLU,İstanbul,HDP,öğretmen,Kırşehir,1968
Mustafa ATAŞ,İstanbul,AK Parti,yönetici,Tunceli,1957
Mustafa DEMİR,İstanbul,AK Parti,bürokrat,Diyarbakır,1959
Mustafa YENEROĞLU,İstanbul,DEVA,bürokrat,Bayburt,1975
Mustafa Sezgin TANRIKULU,İstanbul,CHP,avukat,Diyarbakır,1963
Müşerref Pervin Tuba DURGUT,İstanbul,AK Parti,eczacı,Rİze,1973
Nazır Cihangir İSLAM,İstanbul,CHP,doktor,Sakarya,1959
Nevzat ŞATIROĞLU,İstanbul,AK Parti,mühendis,İstanbul,1967
Numan KURTULMUŞ,İstanbul,AK Parti,akademisyen,Ordu,1959
Nurettin CANİKLİ,İstanbul,AK Parti,mali müşavir,Giresun,1960
Oğuz Kaan SALICI,İstanbul,CHP,akademisyen,Gaziantep,1972
Onursal ADIGÜZEL,İstanbul,CHP,mühendis,Malatya,1985
Osman BOYRAZ,İstanbul,AK Parti,mühendis,Sivas,1974
Oya ERSOY,İstanbul,HDP,avukat,Erzincan,1970
Özgür KARABAT,İstanbul,CHP,müşavir,Tokat,1974
Pervin BULDAN,İstanbul,HDP,yönetici,Hakkari,1967
Ravza KAVAKCI KAN,İstanbul,AK Parti,mühendis,İstanbul,1972
Rümeysa KADAK,İstanbul,AK Parti,öğretmen,İstanbul,1996
Saliha Sera KADIGİL SÜTLÜ,İstanbul,TİP,avukat,İstanbul,1984
Serap YAŞAR,İstanbul,AK Parti,avukat,Malatya,1965
Serkan BAYRAM,İstanbul,AK Parti,avukat,Erzincan,1974
Sibel ÖZDEMİR,İstanbul,CHP,akademisyen,İstanbul,1979
Şamil AYRIM,İstanbul,AK Parti,mühendis,Iğdır,1950
Şirin ÜNAL,İstanbul,AK Parti,pilot,Sinop,1954
Turan AYDOĞAN,İstanbul,CHP,avukat,Gümüşhane,1964
Tülay KAYNARCA,İstanbul,AK Parti,gazeteci,İzmit,1969
Ümit BEYAZ,İstanbul,İYİ Parti,yönetici,Gümüşhane,1971
Ümit ÖZDAĞ,İstanbul,ZAFER P,akademisyen,yurt dışı,1961
Vedat DEMİRÖZ,İstanbul,AK Parti,müşavir,Bitlis,1956
Volkan BOZKIR,İstanbul,AK Parti,büyükelçi,-,-
Yavuz AĞIRALİOĞLU,İstanbul,İYİ Parti,akademisyen,Trabzon,1972
Yunus EMRE,İstanbul,CHP,akademisyen,İzmit,1982
Yüksel Mansur KILINÇ,İstanbul,CHP,yönetici,İstanbul,1961
Zafer SIRAKAYA,İstanbul,AK Parti,yönetici,yurt dışı,1974
Zeynel EMRE,İstanbul,CHP,avukat,Manisa,1981
Zeynel ÖZEN,İstanbul,HDP,öğretmen,Kahramanmaraş,1957
Züleyha GÜLÜM,İstanbul,HDP,avukat,İstanbul,-
İZMİR,,,,,
Ahmet Tuncay ÖZKAN,İzmir,CHP,gazeteci,Ankara,1966
Atila SERTEL,İzmir,CHP,gazeteci,Eskişehir,1956
Aytun ÇIRAY,İzmir,İYİ Parti,doktor,İzmir,1957
Bedri SERTER,İzmir,CHP,iş adamı,İzmir,1960
Binali YILDIRIM,İzmir,AK Parti,yönetici,Erzincan,1955
Cemal BEKLE,İzmir,AK Parti,yönetici,İzmir,1978
Ceyda BÖLÜNMEZ ÇANKIRI,İzmir,AK Parti,yönetici,Ankara,1978
Dursun Müsavat DERVİŞOĞLU,İzmir,İYİ Parti,işletmeci,Ankara,1960
Ednan ARSLAN,İzmir,CHP,mühendis,Erzincan,1979
Fehmi Alpay ÖZALAN,İzmir,AK Parti,milli futbolcu,İzmir,1973
Hamza DAĞ,İzmir,AK Parti,hukukçu,Manisa,1980
Hasan KALYONCU,İzmir,MHP,öğretmen,Trabzon,1969
Kamil Okyay SINDIR,İzmir,CHP,profesör,İzmir,1962
Kani BEKO,İzmir,CHP,sendikacı,Makedonya,1953
Kemal KILIÇDAROĞLU,İzmir,CHP,ekonomist,Tunceli,1948
Mahir POLAT,İzmir,CHP,müşavir,Gaziantep,1975
Mahmut Atilla KAYA,İzmir,AK Parti,hukukçu,İzmir,1973
Mehmet Ali ÇELEBİ,İzmir,BAĞIMSIZ,pilot,Ankara,1984
Murat BAKAN,İzmir,CHP,avukat,Ankara,1972
Murat ÇEPNİ,İzmir,HDP,siyasetçi,Rize,1974
Necip NASIR,İzmir,AK Parti,mühendis,Bitlis,1959
Özcan PURÇU,İzmir,CHP,serbest meslek,İzmir,1977
Selin SAYEK BÖKE,İzmir,CHP,iktisatçı,New York,1972
Serpil KEMALBAY PEKGÖZEGÜ,İzmir,HDP,mühendis,Kars,1964
Sevda ERDAN KILIÇ,İzmir,CHP,avukat,Eskişehir,1980
Tacettin BAYIR,İzmir,CHP,iş adamı,İzmir,1960
Tamer OSMANAĞAOĞLU,İzmir,MHP,iş adamı,Ağrı,1963
Yaşar KIRKPINAR,İzmir,AK Parti,ekonomist,Erzurum,1973
KAHRAMANMARAŞ,,,,,
Ahmet ÖZDEMİR,Kahramanmaraş,AK Parti,avukat,Kahramanmaraş,1977
Ali ÖZTUNÇ,Kahramanmaraş,CHP,gazeteci,Almanya,1976
Celalettin GÜVENÇ,Kahramanmaraş,AK Parti,vali,Kahramanmaraş,1959
Habibe ÖÇAL,Kahramanmaraş,AK Parti,öğretmen,Kahramanmaraş,1968
Mahir ÜNAL,Kahramanmaraş,AK Parti,akademisyen,Kahramanmaraş,1966
Mehmet Cihat SEZAL,Kahramanmaraş,AK Parti,iş adamı,Kahramanmaraş,1980
Sefer AYCAN,Kahramanmaraş,MHP,doktor,Kahramanmaraş,1963
KARABÜK,,,,,
Cumhur ÜNAL,Karabük,AK Parti,muhasebeci,Karabük,1966
Hüseyin Avni AKSOY,Karabük,MEMLEKET P,doktor,Karabük,1956
Niyazi GÜNEŞ,Karabük,AK Parti,ilahiyatçı,Karabük,1953
KARAMAN,,,,,
İsmail Atakan ÜNVER,Karaman,CHP,avukat,Karaman,1974
Recep ŞEKER,Karaman,AK Parti,doktor,Karaman,1972
Selman Oğuzhan ESER,Karaman,AK Parti,hukukçu,Karaman,1983
KARS,,,,,
Ahmet ARSLAN,Kars,AK Parti,mühendis,Kars,1962
Yunus KILIÇ,Kars,AK Parti,veteriner,Kars,1965
KASTAMONU,,,,,
Hakkı KÖYLÜ,Kastamonu,AK Parti,avukat,Kastamonu,1948
Hasan BALTACI,Kastamonu,CHP,mühendis,Sinop,1978
Metin ÇELİK,Kastamonu,AK Parti,hukukçu,Kastamonu,1977
KAYSERİ,,,,,
Çetin ARIK,Kayseri,CHP,doktor,Kayseri,1971
Dursun ATAŞ,Kayseri,İYİ Parti,astsubay,Kayseri,1966
Hülya NERGİS,Kayseri,AK Parti,hukukçu,Kayseri,1967
İsmail ÖZDEMİR,Kayseri,MHP,mühendis,Eskişehir,1985
İsmail TAMER,Kayseri,AK Parti,doktor,Sivas,1956
İsmail Emrah KARAYEL,Kayseri,AK Parti,hukukçu,İstanbul,1978
Mehmet ÖZHASEKİ,Kayseri,AK Parti,hukukçu,Kayseri,1957
Mustafa ELİTAŞ,Kayseri,AK Parti,iş adamı,Kayseri,1957
Mustafa Baki ERSOY,Kayseri,BAĞIMSIZ,ekonomist,Yozgat,1981
Taner YILDIZ,Kayseri,AK Parti,mühendis,Yozgat,1962
KIRIKKALE,,,,,
Ahmet ÖNAL,Kırıkkale,CHP,avukat,Kırıkkale,1983
Halil ÖZTÜRK,Kırıkkale,MHP,avukat,Kırıkkale,1975
Ramazan CAN,Kırıkkale,AK Parti,avukat,Kırıkkale,1970
KIRKLARELİ,,,,,
Selahattin MİNSOLMAZ,Kırıklareli,AK Parti,mühendis,Kırklareli,1970
Türabi KAYAN,Kırıklareli,CHP,mimar,Kırklareli,1955
Vecdi GÜNDOĞDU,Kırıklareli,CHP,serbest ticaret,Kırklareli,1969
KIRŞEHİR,,,,,
Metin İLHAN,Kırşehir,CHP,doktor,Kırşehir,1972
Mustafa KENDİRLİ,Kırşehir,AK Parti,iş adamı,Kırşehir,1975
KİLİS,,,,,
Ahmet Salih DAL,Kilis,AK Parti,ilahiyatçı,Kilis,1971
Mustafa Hilmi DÜLGER,Kilis,AK Parti,siyasetçi,Kilis,1962
KOCAELİ,,,,,
Cemil YAMAN,Kocaeli,AK Parti,yönetici,Ağrı,1970
Emine ZEYBEK,Kocaeli,AK Parti,avukat,Trabzon,1967
Fikri IŞIK,Kocaeli,AK Parti,öğretmen,Gümüşhane,1965
Haydar AKAR,Kocaeli,CHP,matematikçi,Kocaeli,1963
İlyas ŞEKER,Kocaeli,AK Parti,mühendis,Erzurum,1960
Lütfü TÜRKKAN,Kocaeli,İYİ Parti,sanayici,İstanbul,1959
Mehmet Akif YILMAZ,Kocaeli,AK Parti,eğitimci,Ankara,1975
Ömer Faruk GERGERLİOĞLU,Kocaeli,HDP,doktor,Isparta,1965
Radiye Sezer KATIRCIOĞLU,Kocaeli,AK Parti,siyasetçi,Malatya,1965
Saffet SANCAKLI,Kocaeli,MHP,futbolcu,Sırbistan,1966
Sami ÇAKIR,Kocaeli,AK Parti,bankacı,Trabzon,1958
Tahsin TARHAN,Kocaeli,CHP,sanayici,Gümüşhane,1964
KONYA,,,,,
Abdulkadir KARADUMAN,Konya,SAADET P,siyasetçi,Malatya,1992
Abdullah AĞRALI,Konya,AK Parti,doktor,Konya,1969
Abdüllatif ŞENER,Konya,CHP,siyasetçi,Sivas,1954
Ahmet SORGUN,Konya,AK Parti,hukukçu,Konya,1958
Esin KARA,Konya,MHP,ekonomist,İstanbul,1976
Fahrettin YOKUŞ,Konya,İYİ Parti,mali müşavir,Konya,1958
Gülay SAMANCI,Konya,AK Parti,avukat,Norveç,1977
Hacı Ahmet ÖZDEMİR,Konya,AK Parti,ilahiyatçı,Konya,1961
Halil ETYEMEZ,Konya,AK Parti,öğretmen,Artvin,1965
Leyla ŞAHİN USTA,Konya,AK Parti,doktor,İstanbul,1973
Mustafa KALAYCI,Konya,MHP,mali müşavir,Konya,1960
Orhan ERDEM,Konya,AK Parti,iş adamı,Konya,1963
Selman ÖZBOYACI,Konya,AK Parti,mühendis,Konya,1989
Tahir AKYÜREK,Konya,AK Parti,avukat,Konya,1959
Ziya ALTUNYALDIZ,Konya,AK Parti,hukukçu,Konya,1963
KÜTAHYA,,,,,
Ahmet ERBAŞ,Kütahya,MHP,siyasetçi,Yozgat,1966
Ahmet TAN,Kütahya,AK Parti,mali müşavir,Kütahya,1965
Ali Fazıl KASAP,Kütahya,CHP,doktor,Kütahya,1965
Ceyda ÇETİN ERENLER,Kütahya,AK Parti,mühendis,Kütahya,1975
İshak GAZEL,Kütahya,AK Parti,avukat,Kütahya,1980
MALATYA,,,,,
Ahmet ÇAKIR,Malatya,AK Parti,ekonomist,Malatya,1964
Bülent TÜFENKCİ,Malatya,AK Parti,avukat,Malatya,1966
Hakan KAHTALI,Malatya,AK Parti,serbest ticaret,Malatya,1966
Mehmet Celal FENDOĞLU,Malatya,MHP,turizmci,Malatya,1961
Öznur ÇALIK,Malatya,AK Parti,eczacı,Malatya,1965
Veli AĞBABA,Malatya,CHP,iş adamı,Malatya,1968
MANİSA,,,,,
Ahmet Vehbi BAKIRLIOĞLU,Manisa,CHP,yönetici,Manisa,1974
Bekir BAŞEVİRGEN,Manisa,CHP,serbest ticaret,Manisa,1975
Erkan AKÇAY,Manisa,MHP,defterdar,Burdur,1961
İsmail BİLEN,Manisa,AK Parti,avukat,Muş,1961
Mehmet Ali ÖZKAN,Manisa,AK Parti,avukat,Manisa,1971
Murat BAYBATUR,Manisa,AK Parti,iş adamı,Almanya,1978
Özgür ÖZEL,Manisa,CHP,eczacı,Manisa,1974
Semra KAPLAN KIVIRCIK,Manisa,AK Parti,ekonomist,Manisa,1976
Tamer AKKAL,Manisa,AK Parti,iş adamı,Manisa,1974
Uğur AYDEMİR,Manisa,AK Parti,mali müşavir,Manisa,1967
MARDİN,,,,,
Cengiz DEMİRKAYA,Mardin,AK Parti,iş adamı,Mardin,1968
Ebrü GÜNAY,Mardin,HDP,avukat,Bingöl,1982
Mithat SANCAR,Mardin,HDP,profesör,Mardin,1963
Pero DUNDAR,Mardin,HDP,,Mardin,1971
Şeyhmus DİNÇEL,Mardin,AK Parti,mühendis,Mardin,1966
Tuma ÇELİK,Mardin,BAĞIMSIZ,gazeteci,Mardin,1966
MERSİN,,,,,
Ali Cumhur TAŞKIN,Mersin,AK Parti,mühendis,Mersin,1967
Ali Mahir BAŞARIR,Mersin,CHP,avukat,Mersin,1975
Alpay ANTMEN,Mersin,CHP,avukat,Mersin,1969
Baki ŞİMŞEK,Mersin,MHP,mühendis,Mersin,1969
Behiç ÇELİK,Mersin,İYİ Parti,mülki idare amiri,Mersin,1955
Cengiz GÖKÇEL,Mersin,CHP,iş adamı,Mersin,1965
Fatma KURTULAN,Mersin,HDP,siyasteçi,Kahramanmaraş,1964
Hacı ÖZKAN,Mersin,AK Parti,işletmeci,Adıyaman,1963
Olcay KILAVUZ,Mersin,MHP,eğitimci,Niğde,1985
Rıdvan TURAN,Mersin,HDP,doktor,Tokat,1971
Zeki Hakan SIDALI,Mersin,İYİ Parti,iş adamı,İstanbul,1969
Zeynep GÜL YILMAZ,Mersin,AK Parti,hukukçu,Mersin,1976
MUĞLA,,,,,
Burak ERBAY,Muğla,CHP,avukat,Muğla,1978
Mehmet Yavuz DEMİR,Muğla,AK Parti,müfettiş,Muğla,1953
Metin ERGUN,Muğla,İYİ Parti,profesör,Muğla,1963
Mürsel ALBAN,Muğla,CHP,iş adamı,Erzurum,1970
Suat ÖZCAN,Muğla,CHP,öğretmen,Muğla,1960
Süleyman GİRGİN,Muğla,CHP,sendikacı,Muğla,1962
Yelda EROL GÖKCAN,Muğla,AK Parti,hukukçu,Tekirdağ,1976
MUŞ,,,,,
Gülüstan KILIÇ KOÇYİĞİT,Muş,HDP,veteriner,Tunceli,1979
Mehmet Emin ŞİMŞEK,Muş,AK Parti,mühendis,Muş,1964
Mensur IŞIK,Muş,BAĞIMSIZ,avukat,Muş,1975
Şevin COŞKUN,Muş,HDP,gazeteci,Muş,1980
NEVŞEHİR,,,,,
Faruk SARIASLAN,Nevşehir,CHP,avukat,Nevşehir,1953
Mustafa AÇIKGÖZ,Nevşehir,AK Parti,eczacı,Nevşehir,1971
Yücel MENEKŞE,Nevşehir,AK Parti,yönetici,Nevşehir,1963
NİĞDE,,,,,
Ömer Fethi GÜRER,Niğde,CHP,mühendis,Ankara,1957
Selim GÜLTEKİN,Niğde,AK Parti,eczacı,Niğde,1979
Yavuz ERGUN,Niğde,AK Parti,mühendis,Niğde,1974
ORDU,,,,,
Cemal ENGİNYURT,Ordu,DP,iş adamı,Ordu,1965
Ergün TAŞCI,Ordu,AK Parti,hukukçu,Ordu,1974
Metin GÜNDOĞDU,Ordu,AK Parti,iş adamı,Ordu,1973
Mustafa ADIGÜZEL,Ordu,CHP,doktor,Ordu,1967
Seyit TORUN,Ordu,CHP,iktisatçı,Ordu,1968
Şenel YEDİYILDIZ,Ordu,AK Parti,doktor,Ordu,1953
OSMANİYE,,,,,
Baha ÜNLÜ,Osmaniye,CHP,mühendis,Osmaniye,1955
Devlet BAHÇELİ,Osmaniye,MHP,iktisatçı,Osmaniye,1948
İsmail KAYA,Osmaniye,AK Parti,iş adamı,Osmaniye,1983
Mücahit DURMUŞOĞLU,Osmaniye,AK Parti,yönetici,Osmaniye,1965
RİZE,,,,,
Hayati YAZICI,Rize,AK Parti,avukat,Rize,1952
Muhammed AVCI,Rize,AK Parti,siyasetçi,Rize,1980
Osman Aşkın BAK,Rize,AK Parti,mühendis,İstanbul,1966
SAKARYA,,,,,
Ali İhsan YAVUZ,Sakarya,AK Parti,avukat,Trabzon,1969
Çiğdem ERDOĞAN ATABEK,Sakarya,AK Parti,fizikçi,İstanbul,1981
Engin ÖZKOÇ,Sakarya,CHP,iş adamı,Sakarya,1962
Kenan SOFUOĞLU,Sakarya,AK Parti,milli sporcu,Sakarya,1983
Muhammed Levent BÜLBÜL,Sakarya,MHP,avukat,Sakarya,1980
Recep UNCUOĞLU,Sakarya,AK Parti,mühendis,Sakarya,1970
Ümit DİKBAYIR,Sakarya,İYİ Parti,yönetici,Sakarya,1968
SAMSUN,,,,,
Ahmet DEMİRCAN,Samsun,AK Parti,doktor,Samsun,1954
Bedri YAŞAR,Samsun,İYİ Parti,mühendis,Gümüşhane,1963
Çiğdem KARAASLAN,Samsun,AK Parti,mimar,İstanbul,1979
Erhan USTA,Samsun,İYİ Parti,ekonomist,Samsun,1966
Fuat KÖKTAŞ,Samsun,AK Parti,sanayici,Trabzon,1964
Kemal ZEYBEK,Samsun,CHP,iş adamı,Samsun,1962
Neslihan HANCIOĞLU,Samsun,CHP,bankacı,Ordu,1963
Orhan KIRCALI,Samsun,AK Parti,avukat,Samsun,1968
Yusuf Ziya YILMAZ,Samsun,AK Parti,mühendis,Samsun,1951
SİİRT,,,,,
Meral DANIŞ BEŞTAŞ,Siirt,HDP,avukat,Mardin,1967
Osman ÖREN,Siirt,AK Parti,eğitimci,Siirt,1966
Sıdık TAŞ,Siirt,HDP,sporcu,Siirt,1970
SİNOP,,,,,
Barış KARADENİZ,Sinop,CHP,ekonomist,Sinop,1975
Nazım MAVİŞ,Sinop,AK Parti,eğitimci,Sinop,1971
SİVAS,,,,,
Ahmet ÖZYÜREK,Sivas,MHP,hukukçu,Sivas,1964
İsmet YILMAZ,Sivas,AK Parti,hukukçu,Sivas,1961
Mehmet Habib SOLUK,Sivas,AK Parti,mühendis,Sivas,1950
Semiha EKİNCİ,Sivas,AK Parti,işletmeci,Sivas,1972
Ulaş KARASU,Sivas,CHP,mühendis,Sivas,1980
ŞANLIURFA,,,,,
Ahmet AKAY,Şanlıurfa,AK Parti,öğretmen,Şanlıurfa,1959
Ahmet Eşref FAKIBABA,Şanlıurfa,AK Parti,doktor,Şanlıurfa,1951
Ayşe SÜRÜCÜ,Şanlıurfa,HDP,siyasetçi,Şanlıurfa,1983
Aziz AYDINLIK,Şanlıurfa,CHP,iş adamı,Şanlıurfa,1960
Halil ÖZCAN,Şanlıurfa,AK Parti,yönetici,Şanlıurfa,1964
Halil ÖZŞAVLI,Şanlıurfa,AK Parti,tarih doçenti,Şanlıurfa,1981
İbrahim ÖZYAVUZ,Şanlıurfa,MHP,iş adamı,Şanlıurfa,1963
İbrahim Halil YILDIZ,Şanlıurfa,AK Parti,avukat,Şanlıurfa,1976
Mehmet Ali CEVHERİ,Şanlıurfa,AK Parti,eğitimci,Şanlıurfa,1961
Mehmet Kasım GÜLPINAR,Şanlıurfa,AK Parti,kamu görevlisi,Şanlıurfa,1969
Nimetullah ERDOĞMUŞ,Şanlıurfa,HDP,ilahiyatçı,Bingöl,1960
Nusrettin MAÇİN,Şanlıurfa,HDP,parti kurucusu,Diyarbakır,1963
Ömer ÖCALAN,Şanlıurfa,HDP,gazeteci,Şanlıurfa,1987
Zemzem Gülender AÇANAL,Şanlıurfa,AK Parti,eczacı,Şanlıurfa,1957
ŞIRNAK,,,,,
Hasan ÖZGÜNEŞ,Şırnak,HDP,öğretmen,Şırnak,1957
Hüseyin KAÇMAZ,Şırnak,HDP,avukat,Şırnak,1986
Nuran İMİR,Şırnak,HDP,yönetici,Şırnak,1977
Rizgin BİRLİK,Şırnak,AK Parti,memur,Şırnak,1977
TEKİRDAĞ,,,,,
Candan YÜCEER,Tekirdağ,CHP,doktor,Tekirdağ,1973
Çiğdem KONCAGÜL,Tekirdağ,AK Parti,sosyolog,Tekirdağ,1969
Enez KAPLAN,Tekirdağ,İYİ Parti,iş adamı,Tekirdağ,1962
Faik ÖZTRAK,Tekirdağ,CHP,ekonomist,Ankara,1954
İlhami Özcan AYGUN,Tekirdağ,CHP,mühendis,Edirne,1969
Mustafa ŞENTOP,Tekirdağ,AK Parti,avukat,Tekirdağ,1968
Mustafa YEL,Tekirdağ,AK Parti,kamu yöneticisi,Tekirdağ,1968
TOKAT,,,,,
Kadim DURMAZ,Tokat,CHP,eğitimci,Tokat,1957
Mustafa ARSLAN,Tokat,AK Parti,avukat,Tokat,1967
Özlem ZENGİN,Tokat,AK Parti,avukat,Tokat,1969
Yusuf BEYAZIT,Tokat,AK Parti,avukat,Tokat,1962
Yücel BULUT,Tokat,MHP,avukat,Samsun,1980
TRABZON,,,,,
Adnan GÜNNAR,Trabzon,AK Parti,öğretmen,Akçaabat,1966
Ahmet KAYA,Trabzon,CHP,mühendis,Trabzon,1971
Bahar AYVAZOĞLU,Trabzon,AK Parti,iktisatçı,Trabzon,-
Hüseyin ÖRS,Trabzon,İYİ Parti,öğretmen,Trabzon,1964
Muhammet BALTA,Trabzon,AK Parti,mühendis,Vakfıkebir,1966
Salih CORA,Trabzon,AK Parti,avukat,Trabzon,1981
TUNCELİ,,,,,
Alican ÖNLÜ,Tunceli,HDP,ilkokul mezunu,Tunceli,1967
Polat ŞAROĞLU,Tunceli,CHP,tüccar,Tunceli,1969
UŞAK,,,,,
İsmail GÜNEŞ,Uşak,AK Parti,doktor,Uşak,1967
Mehmet ALTAY,Uşak,AK Parti,avukat,Uşak,1972
Özkan YALIM,Uşak,CHP,iş adamı,Uşak,1969
VAN,,,,,
Abdulahat ARVAS,Van,AK Parti,sanayici,Van,1969
İrfan KARTAL,Van,AK Parti,mühendis,Van,1949
Muazzez ORHAN IŞIK,Van,HDP,işletmeci,Van,1972
Murat SARISAÇ,Van,HDP,siyasetçi,Van,1983
Osman Nuri GÜLAÇAR,Van,AK Parti,ekonomist,Van,1965
Sezai TEMELLİ,Van,HDP,akademisyen,İstanbul,1963
Tayip TEMEL,Van,HDP,gazeteci,Hakkari,1982
YALOVA,,,,,
Ahmet BÜYÜKGÜMÜŞ,Yalova,AK Parti,siyasetçi,İstanbul,1990
Meliha AKYOL,Yalova,AK Parti,mühendis,İstanbul,1960
Özcan ÖZEL,Yalova,MEMLEKET P,öğretmen,Kocaeli,1959
YOZGAT,,,,,
Ali KEVEN,Yozgat,CHP,esnaf,Yozgat,1951
İbrahim Ethem SEDEF,Yozgat,MHP,öğrenci,Yozgat,1980
Yusuf BAŞER,Yozgat,AK Parti,avukat,Yozgat,1965
ZONGULDAK,,,,,
Ahmet ÇOLAKOĞLU,Zonguldak,AK Parti,yönetici,Zonguldak,1978
Deniz YAVUZYILMAZ,Zonguldak,CHP,mühendis,Zonguldak,1979
Hamdi UÇAR,Zonguldak,AK Parti,işletmeci,Zonguldak,1963
Polat TÜRKMEN,Zonguldak,AK Parti,mühendis,Trabzon,1957
Ünal DEMİRTAŞ,Zonguldak,CHP,avukat,Zonguldak,1971