CUMHURBAŞKANI VE 27.DÖNEM MİLLETVEKİLİ GENEL SEÇİMİ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,56-83 yaşlar,Unnamed: 7,,,,,,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
İl Id,İl Adı,Cezaevi Sandık Sayısı,Toplam Sandık Sayısı,Kayıtlı Seçmen Sayısı,Kadın Seçmen Sayısı,Erkek Seçmen Sayısı,Okuma yazma bilmeyen,Okuma yazma bilen fakat bir okul bitirmeyen,İlkokul,İlköğretim,Ortaokul veya dengi okul,Lise veya dengi okul,Yüksekokul veya fakülte,18-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+
1,ADANA,10,4543,1524922,778832,746090,68670,83532,343516,224568,144453,395398,233369,241966,158123,163302,174395,155052,137741,125836,109735,91175,67714,43140,56743
2,ADIYAMAN,3,1443,399281,201009,198272,33756,22754,86108,71359,37489,88093,53827,78170,46052,44878,44693,37473,32886,27621,22683,18799,16454,11512,18060
3,AFYONKARAHİSAR,5,1807,506851,260095,246756,16665,24681,164809,85583,45306,102167,58513,74411,47080,49961,51885,45547,44175,41429,41067,33837,27351,19208,30900
4,AĞRI,4,1107,295475,143939,151536,33253,49033,65341,47613,24867,43183,25420,73153,44522,33420,33227,23910,19874,17153,14322,12402,8794,6365,8333
68,AKSARAY,1,891,266870,137167,129703,14272,12180,77422,50972,24444,51428,29401,42861,27004,28713,2963,26188,23432,21117,17739,14952,13404,9244,12587
5,AMASYA,2,941,246486,127386,119100,9243,12836,74278,31558,22937,56469,35311,31871,19944,21916,23319,21440,20694,21105,21044,18182,15611,12328,19033
6,ANKARA,36,11328,3904585,2007384,1897201,88445,90807,729711,414699,352720,1124604,915812,542864,413604,433171,451748,407237,373543,335005,288241,225887,163537,109447,160301
7,ANTALYA,10,5008,1681336,840497,840839,22373,70524,406106,244291,146878,443445,302570,230715,165234,182276,201029,184856,168093,145320,123310,96840,69339,47241,67094
75,ARDAHAN,1,336,69405,33770,35635,5441,3816,19622,10471,6951,13867,7553,10642,6856,6373,6593,6187,5513,5291,4803,4615,4172,3451,4909
8,ARTVİN,2,633,131275,66038,65237,5146,6263,34136,14492,13001,36372,19689,16229,10770,10971,11059,10641,11489,11501,10789,10934,8581,6562,11751
9,AYDIN,4,2561,815974,416879,399095,18631,43435,24509,118593,66731,180771,124551,103085,69931,72822,80050,75065,72304,70943,71135,63347,48229,35095,53968
10,BALIKESİR,13,3218,945092,484588,460504,22402,43754,301998,110182,81469,218211,147961,10788,72796,77115,85938,85698,85237,85427,85838,77697,63963,47384,70119
74,BARTIN,1,556,146888,75261,71627,7225,11022,42381,27525,11579,27636,16811,17253,11585,12912,14334,13594,12992,12485,12675,12286,9951,6837,9984
72,BATMAN,1,1125,342111,173500,168611,29907,36254,52349,69435,30456,72742,44123,83705,52106,40418,41141,30164,24362,19800,13946,11468,8962,6035,10004
69,BAYBURT,1,285,56099,27783,28316,3415,2937,14120,8899,4680,13620,7028,10790,5630,5309,4859,4456,4325,4253,3714,3639,2898,2266,3960
11,BİLECİK,1,638,154319,77707,76612,3529,3696,46551,20396,14774,41193,21810,19738,14366,15382,16318,14585,14006,13113,12584,10401,7699,5640,10487
12,BİNGÖL,1,657,180991,90236,90755,16356,17995,3474,31453,14635,39770,23050,35728,25595,21076,20757,16288,13749,11834,9313,8331,6629,4604,7087
13,BİTLİS,2,780,198510,97703,100807,18090,25080,37200,37951,18269,37337,21925,46763,28844,22874,22026,16317,14492,12151,9653,8491,6364,4355,6180
14,BOLU,3,977,222455,114475,107980,8537,8897,64040,27394,17646,57162,33683,30350,19381,20171,22117,20527,19284,17718,17214,16058,13257,9619,16759
15,BURDUR,4,700,196380,100841,95539,5891,8673,65806,24769,17487,41574,28229,25814,15182,15914,17442,17504,17084,16963,17105,15387,12123,9263,16599
16,BURSA,6,6300,2147723,1090800,1056923,62511,65980,519678,328376,211484,571358,343639,292195,216163,233841,252112,223773,201945,180316,159128,131289,98466,65546,92949
17,ÇANAKKALE,3,1500,406809,206628,200181,6515,19839,137174,42138,33070,91112,67888,45687,32201,34548,39376,36553,36119,36320,35836,32807,27318,19425,30619
18,ÇANKIRI,2,684,133958,68279,65679,7181,6976,41220,18264,12480,29158,1625,16365,10980,11090,11393,10409,10469,11203,11483,11242,9578,7312,12434
19,ÇORUM,5,1691,390689,201405,189284,22342,28717,117645,58624,33254,77427,46217,52206,31545,33140,36996,34648,33155,32506,31544,29388,25416,19307,30838
20,DENİZLİ,7,2344,747897,380634,367263,12515,36526,214874,114304,65189,177059,112153,100404,67044,74122,83103,76499,69639,64642,58335,47711,37978,26794,41626
21,DİYARBAKIR,7,3311,1023389,518665,504724,103986,14632,164241,180187,81084,203190,13007,228276,152691,127153,122353,93729,75557,62827,46438,35323,28347,20028,30667
81,DÜZCE,3,915,267610,135345,132265,9825,12958,69841,46520,22903,65290,35275,37557,25598,26688,29237,26833,24437,22246,21176,18000,13172,9009,13657
22,EDİRNE,4,1003,310614,157064,153550,9520,14050,101605,33906,26710,72837,45071,35426,25162,26145,28003,27353,26708,28821,29949,26864,20658,13708,21817
23,ELAZIĞ,7,1551,411019,212783,198236,21396,38352,84843,54933,37619,101177,62121,67782,41521,42209,43944,39119,35837,32893,28912,24900,18337,13348,22217
24,ERZİNCAN,1,943,162168,82178,79990,10433,8569,39578,20197,15026,39149,24029,24281,14807,15429,15707,14258,13331,12721,11874,11267,9395,7183,11915
25,ERZURUM,6,2187,493586,250643,242943,36989,34206,119108,70789,43476,110087,6511,91620,54978,52430,52042,44357,40244,35478,30849,27426,21609,17176,25377
26,ESKİŞEHİR,3,2073,645534,329706,315828,13572,14526,155950,68727,57686,190907,122304,90426,61719,62194,65723,6227,58866,55940,52599,42682,33541,24021,35553
27,GAZİANTEP,9,3708,1214503,611438,603065,60031,72906,285833,277453,110021,242634,141869,24065,153054,151467,145789,121507,98565,83921,65894,49632,39344,27500,37180
28,GİRESUN,4,1304,334305,170214,164091,19291,31601,85094,38600,29681,77824,45377,44617,25988,25947,27631,26494,26632,29348,30127,29397,21312,15405,31407
29,GÜMÜŞHANE,1,575,100675,50196,50479,5435,6704,24879,12726,8196,25710,13361,18257,9474,9031,8303,7585,7395,7733,7592,7328,5630,4321,8026
30,HAKKARİ,1,511,168258,78123,90135,15477,18709,23658,30444,12337,42827,21787,44635,33387,19709,20030,12712,9443,8050,6357,4826,3608,2192,3309
31,HATAY,9,3124,1041076,532194,508882,29102,82557,280573,167892,94334,224733,138592,169458,105976,113445,119087,105927,95731,88180,74170,58885,42368,26908,40941
76,IĞDIR,1,408,119655,59313,60342,11811,12116,22662,21329,10600,23771,14184,24415,15174,13798,13438,10585,9165,7924,6939,6108,4481,3232,4396
32,ISPARTA,4,1044,312416,159918,152498,9616,11250,87487,36189,27521,79478,51841,41665,26524,28200,30580,29058,27738,26010,26458,23175,18596,12875,21537
34,İSTANBUL,63,28826,10559686,5333337,5226349,257760,341144,2220426,1576005,975488,2730843,2057015,1556703,1212896,1281249,1350335,1166708,1008111,838639,676274,517680,363438,240898,346755
35,İZMİR,26,9360,3227032,1651463,1575569,54325,130807,794662,417858,285766,828342,624693,401477,309380,326906,358168,328132,29831,276921,25559,217987,168261,118278,167622
46,KAHRAMANMARAŞ,3,2390,738677,369525,369152,48965,40521,175814,132867,73450,162214,89555,129757,78039,83063,85760,72054,64236,53807,46153,38579,30587,22718,33924
78,KARABÜK,2,711,175500,88580,86920,9655,7453,45373,21510,15999,42952,2922,24599,15011,14691,15983,15917,15867,15055,14374,13198,10862,7941,12002
70,KARAMAN,2,627,173500,88433,85067,4732,6461,51860,32734,15325,35028,23608,26450,16602,17704,17670,1624,15799,14147,12324,10596,8693,6332,10943
36,KARS,2,714,181776,89330,92446,15163,12849,44584,32326,17087,34761,2023,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287,34287
37,KASTAMONU,3,1626,285633,145567,140066,19609,20201,93800,36618,22291,53744,35119,33755,22751,23285,24942,22438,21400,22645,24967,25218,21461,15917,26854
38,KAYSERİ,10,2995,952629,484978,467651,30478,38109,235605,146065,87072,243104,147309,149894,95958,104394,109275,96237,85315,75482,66605,54778,42152,30354,42185
71,KIRIKKALE,7,708,198396,100915,97481,8177,7780,44798,24347,22616,58045,2908,28988,17300,17654,18364,17341,18172,18492,16400,14116,11601,8269,11699
39,KIRKLARELİ,5,876,272674,136754,135920,6083,8011,82040,35723,24657,71085,40367,30630,23267,23966,27273,25612,24412,24162,24570,22477,16565,11225,18515
40,KIRŞEHİR,2,667,165492,84943,80549,6907,7917,43981,20768,16337,41395,24365,23447,14137,14871,15677,14830,14708,15023,14014,12352,9397,6745,10291
79,KİLİS,3,361,85616,42831,42785,4579,5322,17941,18450,8694,16804,11305,11305,10518,8985,8652,7625,7062,6530,5371,4181,3704,2778,4480
41,KOCAELİ,19,3877,1334402,668570,665832,34621,40358,278533,218592,131122,373459,228428,194278,1522,161617,169745,143784,121136,104509,87625,71195,50452,3342,44441
42,KONYA,8,4701,1503411,772241,731170,417817,64107,469693,255651,120188,309098,206825,246305,150486,158048,159376,141434,131634,120674,108065,90473,72709,51267,72940
43,KÜTAHYA,2,1594,422116,217275,204841,10463,26247,136817,61688,36423,92740,50902,51180,35184,39709,41869,39948,37329,36442,37118,31653,25680,17942,28062
44,MALATYA,2,1976,555349,283729,271620,39530,2554,115744,72913,55209,144794,89341,88753,53576,56515,60669,54185,48649,43942,38482,32962,26585,19592,31439
45,MANİSA,11,3435,1044628,531688,512940,28288,56305,355479,160829,84681,214478,132322,137346,95397,103336,110198,100618,94971,91425,86160,72797,55552,3875,58078
47,MARDİN,3,1633,470545,239704,230841,57026,47670,83228,88257,37029,94097,52416,112365,68568,56859,51761,40945,34267,27452,20090,16303,13595,10077,18263
33,MERSİN,16,3875,1270128,650267,619861,33465,79703,325621,18116,113130,312036,200077,194578,124254,126854,137267,128000,119225,111263,95321,78806,58068,40372,56120
48,MUĞLA,6,2230,724911,360018,364893,12842,20707,207201,91145,59195,179208,134746,85963,61748,68633,77530,74132,69378,64986,59152,50461,39089,27967,45872
49,MUŞ,1,788,228538,113243,115295,26387,34492,41987,43364,19332,37944,21285,54596,33986,26021,25128,19038,15754,13652,11164,10032,7410,4958,6799
50,NEVŞEHİR,2,713,210520,108258,102262,7572,8180,62432,33383,19940,47919,26841,30165,18608,20887,21395,19321,18465,17844,16200,13938,11742,8874,13081
51,NİĞDE,1,778,240101,122826,117275,10531,10663,70470,43215,22551,49406,29341,38747,23058,2334,25045,22534,21743,19789,17364,14076,11799,9057,13549
52,ORDU,2,2015,557984,283756,274228,40249,46738,14663,72757,50256,125476,67273,76488,45597,46466,51922,49433,47576,50501,45858,43320,33689,24885,42249
80,OSMANİYE,5,1100,357485,181759,175726,22320,13422,76951,51733,38318,95395,52809,61164,34595,36814,39771,34951,32951,29647,25430,21020,16087,10715,14340
53,RİZE,1,975,252342,129093,123249,10553,14342,61640,32763,24836,66151,37318,34665,22186,22270,2324,2283,24328,22942,20605,18161,13050,10359,17706
54,SAKARYA,4,2239,705270,356657,348613,22761,22515,192648,105382,65166,183509,97301,101304,70269,71223,78331,71000,64448,58384,53672,45968,33960,23239,33472
55,SAMSUN,7,3247,959127,493645,465482,28877,74685,264472,139028,77572,214183,141817,138767,85859,88509,96934,90126,84308,85903,77533,66967,52146,36781,55294
56,SİİRT,2,614,179764,89630,90134,21688,20991,28636,35800,14190,33608,22161,45800,27134,21152,19416,14145,12014,10343,7831,68700,54040,3764,5891
57,SİNOP,2,765,159840,81796,78044,8092,11400,53544,22299,13290,28410,19950,18094,12004,12618,13095,11828,11709,13120,14315,14560,12695,9609,16193
58,SİVAS,5,2287,450068,228119,221949,30144,24132,113482,61397,41349,106241,61320,68759,42675,42107,42487,38308,35739,34728,33785,31986,27829,21155,30510
63,ŞANLIURFA,10,3652,1060815,539864,520951,136222,160353,19678,21044,84450,160710,94149,260372,161210,133537,118986,91449,72001,64611,48244,35654,27655,19108,27988
73,ŞIRNAK,2,854,268308,131115,137193,32116,32682,42017,53572,22255,50849,29033,73882,50580,32821,29536,20419,16013,13011,8587,7467,5689,3840,6463
59,TEKİRDAĞ,10,2174,736589,365804,370785,13117,26633,184148,130405,71307,193523,103762,98131,78954,84134,90282,76661,67851,60016,53197,44371,32449,20828,29715
60,TOKAT,3,1663,423449,218372,205077,15160,4134,122515,60528,36909,86824,53442,60917,35061,36263,38186,36419,34714,35380,35044,33436,27752,21485,28792
61,TRABZON,2,2086,583183,299270,283913,28704,33685,133308,65162,49533,160721,97046,81772,53282,54783,56643,52404,50617,50377,47377,42745,30872,22325,39986
62,TUNCELİ,1,434,64290,29963,34327,4967,3245,13176,64520,51760,17573,11960,79380,78560,66210,62610,53110,5100,46070,45120,44540,36090,25930,54280
64,UŞAK,3,896,266493,135969,130524,6627,15156,76588,47493,23327,56813,35104,34585,22710,25979,27896,25790,24164,22996,21720,18773,14370,10411,17099
65,VAN,7,2049,637867,316986,320881,60695,98303,118853,124274,51030,110292,64043,15732,99080,79113,73475,52072,43802,38194,29785,23076,16610,10976,14364
77,YALOVA,1,515,178178,90692,87486,4194,5737,41747,22279,18462,48509,31492,23262,16271,16606,18160,17058,16290,15137,14646,12879,10035,7168,10666
66,YOZGAT,5,1283,296268,151850,144418,15733,16899,92344,40194,26290,64351,31898,45465,26531,26526,26821,24664,24116,24940,23135,21362,18837,13939,19932
67,ZONGULDAK,3,1508,446863,230046,216817,27778,19555,128169,61751,38442,107167,56501,52275,35217,41457,47245,44085,40583,39855,40951,35975,26943,17072,25205
,Toplam,462,180527,56322632,,,,,,,,,,,,,,,,,,,,,